pair_id,backend,task_id,observation,sample_phase,status,startup_ns,spawn_return_ns,fixture_ready_ns
"formal-full-native-noop-0137","shell","native-noop","full","formal","success","417184","22916107316896","22916107629309"
"formal-full-native-noop-0137","transparent","native-noop","full","formal","success","877030","22916100043211","22916100747454"
"formal-full-native-noop-0138","shell","native-noop","full","formal","success","419925","22916129414568","22916129734336"
"formal-full-native-noop-0138","transparent","native-noop","full","formal","success","985386","22916136162556","22916137026958"
"formal-full-native-noop-0139","shell","native-noop","full","formal","success","459916","22916150974841","22916151282439"
"formal-full-native-noop-0139","transparent","native-noop","full","formal","success","971037","22916143590275","22916144439594"
"formal-full-native-noop-0140","shell","native-noop","full","formal","success","422986","22916173555231","22916173855350"
"formal-full-native-noop-0140","transparent","native-noop","full","formal","success","986856","22916180286334","22916181157983"
"formal-full-native-noop-0141","shell","native-noop","full","formal","success","396973","22916195328970","22916195574666"
"formal-full-native-noop-0141","transparent","native-noop","full","formal","success","974824","22916187859863","22916188695878"
"formal-full-native-noop-0142","shell","native-noop","full","formal","success","482229","22916217774171","22916218090629"
"formal-full-native-noop-0142","transparent","native-noop","full","formal","success","975095","22916224460218","22916225314728"
"formal-full-native-noop-0143","shell","native-noop","full","formal","success","430077","22916239167821","22916239471376"
"formal-full-native-noop-0143","transparent","native-noop","full","formal","success","938684","22916231934987","22916232717136"
"formal-full-native-noop-0144","shell","native-noop","full","formal","success","613865","22916261582323","22916261994711"
"formal-full-native-noop-0144","transparent","native-noop","full","formal","success","1109500","22916268586684","22916269546878"
"formal-full-native-noop-0145","shell","native-noop","full","formal","success","435738","22916283417540","22916283737561"
"formal-full-native-noop-0145","transparent","native-noop","full","formal","success","1061025","22916276211914","22916277135361"
"formal-full-native-noop-0146","shell","native-noop","full","formal","success","508899","22916306035016","22916306390968"
"formal-full-native-noop-0146","transparent","native-noop","full","formal","success","1242684","22916312959051","22916313997410"
"formal-full-native-noop-0147","shell","native-noop","full","formal","success","664832","22916329217794","22916329649224"
"formal-full-native-noop-0147","transparent","native-noop","full","formal","success","1345605","22916321005161","22916322120138"
"formal-full-native-noop-0148","shell","native-noop","full","formal","success","453303","22916352465966","22916352790077"
"formal-full-native-noop-0148","transparent","native-noop","full","formal","success","983395","22916359235268","22916360094408"
"formal-full-native-noop-0149","shell","native-noop","full","formal","success","446394","22916374270762","22916374598847"
